dirbt_id|sav_pavadinimas|seniunijos_pavad|statinio_kategorija|obje_tipas|pask_tipas|atr_uzstatytas_plotas|bendras_plotas|naudingas_plotas|gyv_plotas|verslo_plotas|pagalb_nenaud_plotas|pagalb_naud_plotas|rusiu_plotas|garazu_plotas|patalpu_kaip_atsir_nt_skaicius|gyv_pask_patalpu_sk|pastato_energ_naud_klase|aukstu_skaicius|stat_pradzios_metai|stat_pabaigos_metai|modern_pradzios_metai|modern_pabaigos_metai|sildymas|vandentiekis|nuoteku_salinimas|dujos|karstas_vanduo|elektra|virykle|vonios_kambarys|vedin_kondicionav|pamatai|sienos|stogo_konstrukcija|stogo_danga|perdanga|isores_apdaila|vidaus_apdaila|pertvaros|grindys|langai|durys|formavimo_data
65178183482725541|Kauno m. sav.|Kauno m.|2|22|220|1374|1564,06||0|||||||||2|1991|1991|||0|0|0|0|0|1|0|0|0|1|1|1|21|1|0|2|5|15|1|1|2026-08-03
65059946027114776|Kauno m. sav.|Šilainių sen.|2|20|110|117|89,56|89,56|65,44|||24,12||||||1|2017|2019|||6|1|1|1|1|1|0|1|1|2|19|2|2|3|1|2|2|13|8|6|2026-08-03
64813346352230294|Kauno m. sav.|Kauno m.|2|20|110|116|90,88|90,88|68,32|||22,56|||||4|1|2021|2022|||6|1|1|0|1|1|2|1|1|2|19|2|13|3|2|2|2|35|8|1|2026-08-03
64812769172429466|Kauno m. sav.|Kauno m.|3|28|240|20|0||0|||||||||1|2017|2021|||0|0|0|0||1||||2|48|2|2|3|15|19|0|24|0|4|2026-08-03
64683403128776823|Kauno m. sav.|Kauno m.|3|22|240|32|26,07||0|||||||||1|2025|2025|||0|0|0|0|0|1|0|0|3|2|48|2|2|3|2|2|0|14|8|4|2026-08-03
65106861522123249|Kauno m. sav.|Panemunės sen.|3|28|240|20|0||0|||||||||1|2012|2012|||0|0|0|0||1||||2|48|2|3|3|0||12|0|0|1|2026-08-03
65060073112881839|Kauno m. sav.|Šilainių sen.|4|20|110|50|65,54|65,54|50,29|||15,25||||||2|2014|2017|||3|1|1|1|1|1|2|1|1|2|19|1|20|1|2|2|2|14|8|1|2026-08-03
65063361813458731|Kauno m. sav.|Šilainių sen.|2|20|120|179|209,37|186,75|154,88|||31,87||22,62||2|4|2|2014|2017|||3|1|1|1|1|1|2|1|1|2|19|2|2|1|2|2|2|13|1|1|2026-08-03
65058975968466187|Kauno m. sav.|Vilijampolės sen.|2|20|110|67|100,23|100,23|81,27|||18,96||||1|4|2|2014|2017|||3|1|1|1|1|1|2|1|1|2|19|1|20|1|2|2|8|35|8|1|2026-08-03
64763494732902299|Kauno m. sav.|Kauno m.|2|22|224|1529|1468,49||0|||||||||1|1980|1985|||10|1|1|0|1|1|0|0|1|2|3|4|20|1|0|2|0|15|8|8|2026-08-03
6481513722747019|Kauno m. sav.|Kauno m.|2|22|212|204|197,35||0|||||||||1|2019|2021|||0|1|1|0|0|1|0|0|1|2|8|2|2|0|0|0|15|15|8|4|2026-08-03
64806671325911711|Kauno m. sav.|Kauno m.|2|20|110|144|92,06|92,06|79,81|||12,25|||||1|1|2021|2025|||6|1|1|0|1|1|2|1|3|1|19|2|26|3|2|2|2|38|8|1|2026-08-03
6486864983784861|Kauno m. sav.|Kauno m.|4|20|110|57|56,48|56,48|49,29|||7,19|||||4|2|2017|2022|||6|1|1|1|1|1|2|1|1|1|19|4|20|1|3|2|2|35|8|7|2026-08-03
65059002771870295|Kauno m. sav.|Šilainių sen.|2|20|110|57|84,79|84,79|63,81|||20,98||||1||2|2012|2014|||3|1|1|1|1|1|2|1|1|2|19|2|2|1|2|2|2|2|8|1|2026-08-03
64743327068856896|Kauno m. sav.|Kauno m.|2|22|214|174|151,12||0|||||||||1|2004|2023|||0|0|0|0|0|1|0|0|1|2|19|2|2|1|15|1|2|15|8|4|2026-08-03
64755538845526664|Kauno m. sav.|Kauno m.|2|20|120|138|258,77|258,77|201,42|||57,35|||2|2|1|2|2023|2023|||0|1|1|0|0|1|0|0|0|2|19|2|2|1|1|1|8|15|8|8|2026-08-03
64714076429326445|Kauno m. sav.|Kauno m.|3|22|266|82|71,41||0|||||||||1|2023|2024|||0|1|1|0|0|1|0|0|1|2|48|4|38|3|5|19|0|15|8|4|2026-08-03
64707346211840655|Kauno m. sav.|Kauno m.|3|22|240|10|7,92||0|||||||||1|2024|2024|||0|0|0|0|0|0|0|0|1|2|48|2|2|0|15|19|0|26|0|8|2026-08-03
64900973842393989|Kauno m. sav.|Kauno m.|2|20|120|104|149,08|149,08|123,37|||25,71||||2|4|2|2011|2018|||7|1|1|1|1|1|2|1|1|2|19|2|2|1|2|2|2|35|8|1|2026-08-03
