dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
74520035349994559,Kauno m.,28,240,1,19.0,1968.0,ambiguous,555,3176,440041270455,19.060278235022437,0.003167516803143755
75686367082871298,Žaliakalnio sen.,20,110,1,115.0,1925.0,ambiguous,14686,15727,440019548006,114.99592275123403,3.545496561496719e-05
75679716145984677,Kauno m.,22,210,2,195.0,1956.0,ambiguous,132,274,440005531102,190.19589999643938,0.024944964960089244
65122555447930747,Šilainių sen.,20,120,2,117.0,2018.0,ambiguous,2239,2464,199590070010,117.03888666308393,0.0003323094208509403
74417764993045865,Kauno m.,28,240,1,21.0,1970.0,ambiguous,683,3176,199570356022,20.99824999592453,8.333699983475995e-05
75646251248002824,Aleksoto sen.,20,110,1,93.0,1939.0,ambiguous,13991,15727,199530008012,92.99989999337811,1.0753405987884435e-06
74914378255996936,Kauno m.,28,240,1,9.0,1926.0,ambiguous,98,3176,440002584574,12.29224999792967,0.31174440498827005
75091476391216841,Petrašiūnų sen.,22,222,1,460.0,1974.0,ambiguous,244,917,199600323102,460.63745002789074,0.0013848016496389448
65061142177348735,Vilijampolės sen.,28,240,1,20.0,1996.0,ambiguous,617,3176,440027549862,20.046249997112902,0.002309830142869007
65144624997966485,Šilainių sen.,20,110,2,194.0,2013.0,ambiguous,5667,8034,440007679005,194.000899990749,4.639116811588906e-06
65307404385195125,Šilainių sen.,20,110,1,289.0,2010.0,ambiguous,6019,15727,440020854486,288.97627344679734,8.210217030057976e-05
65226775126359021,Kauno m.,28,240,1,84.0,2008.0,ambiguous,2218,3176,199660113042,83.98700000354275,0.00015477383943895973
64857824611286086,Kauno m.,20,110,2,91.0,2023.0,ambiguous,6915,8034,199920063010,90.99666151243242,3.668734953876651e-05
74298394672439996,Kauno m.,28,240,1,22.0,1952.0,ambiguous,739,3176,199270002032,22.042988585359026,0.0019521199805661027
6491789993481023,Petrašiūnų sen.,22,214,1,749.0,2018.0,ambiguous,33,126,199380328047,779.4515230709239,0.039851513272435746
75344326549375493,Kauno m.,22,222,1,184.0,2002.0,ambiguous,192,917,440051687308,184.12678775924456,0.000688826613403748
74837531519726372,Kauno m.,28,240,1,22.0,1960.0,ambiguous,739,3176,199270002032,22.042988585359026,0.0019521199805661027
64707957295883134,Kauno m.,20,110,1,164.0,2025.0,ambiguous,13078,15727,199930037015,164.00184998778218,1.128034968189695e-05
74966593826978969,Kauno m.,28,240,1,45.0,1976.0,ambiguous,1679,3176,199590211020,45.00037570002737,8.34885464540136e-06
74995688196564506,Kauno m.,28,240,1,15.0,1977.0,ambiguous,354,3176,440023993764,14.810749998136423,0.01269693277208983
75648225858176696,Vilijampolės sen.,20,110,1,96.0,1938.0,ambiguous,14161,15727,199420002017,96.00074999316782,7.812398314932523e-06
7569006420705425,Žaliakalnio sen.,20,110,1,148.0,1924.0,ambiguous,13961,15727,199370080012,147.99605000070744,2.6689540571389614e-05
64709270472948069,Kauno m.,20,110,1,272.0,2025.0,ambiguous,6730,15727,440021198598,272.0005807609091,2.13514812141824e-06
74446748558455636,Kauno m.,28,240,1,10.0,1971.0,ambiguous,130,3176,440002584574,12.29224999792967,0.20638388933044371
81611453849359361,Kauno m.,28,240,1,5.0,1975.0,ambiguous,3,3176,440002584574,12.29224999792967,0.8995310698903893
74163603653128921,Kauno m.,28,240,1,17.0,2001.0,ambiguous,444,3176,199100169028,16.981026597074084,0.0011167058089558424
74956526397645981,Kauno m.,28,240,1,71.5,1972.0,ambiguous,2182,3176,440011018794,71.51199999219459,0.00016781797644149776
74584363694339281,Kauno m.,28,240,1,24.41,1924.0,ambiguous,853,3176,440052707264,24.439299611518916,0.0011995920214000755
65020763036683624,Panemunės sen.,20,110,1,292.0,2015.0,ambiguous,5891,15727,529370085011,291.8810385056655,0.00040748538875323703
74439986864359112,Kauno m.,28,240,1,8.0,1970.0,ambiguous,68,3176,440002584574,12.29224999792967,0.42952744064465387
